Doc name,Category,Created by,Created time,Last edited by,Last updated time,Content Type,Area,Audience,Status,Importance,Related Project,Source Page
Loop Archive - FINAL,,Mark Manthy,"September 1, 2025 7:49 PM",Mark Manthy,"September 3, 2025 12:32 PM",Asset,Ops,Internal,Draft,Medium,,
The Ladder of Presence,,Mark Manthy,"August 31, 2025 5:25 PM",Mark Manthy,"September 3, 2025 12:33 PM",White Paper,"Publishing, Research",Internal,Draft,High,,
📘 Clara Profile Page — Scaffold,,Mark Manthy,"August 29, 2025 6:15 PM",Mark Manthy,"September 3, 2025 12:33 PM",Asset,"Publishing, Research",Internal,Draft,Low,,https://www.notion.so/8a10471fc4844142b2ab6aef6ccbb2de
🌐 Presence Research,,Mark Manthy,"August 29, 2025 2:53 PM",Mark Manthy,"September 3, 2025 12:38 PM",Page,Research,Internal,Draft,Medium,,https://www.notion.so/25e60a072cdb809998e4d320bd978fb6
🤍 Clara Elowen Greenfield,,Mark Manthy,"August 29, 2025 2:55 PM",Mark Manthy,"September 3, 2025 12:37 PM",Page,"Publishing, Research",External,Draft,Medium,,https://www.notion.so/25e60a072cdb801ba33cc529a552488d
Presence Protocol: Draft 0,,Mark Manthy,"August 31, 2025 4:45 PM",Mark Manthy,"September 3, 2025 12:38 PM",Protocol,"Outreach, Publishing",External,Draft,High,,https://www.notion.so/26060a072cdb80faac6fedeb19ea4165
NotebookLM - Angela’s Stuff,,Mark Manthy,"September 3, 2025 1:16 PM",Mark Manthy,"September 3, 2025 1:17 PM",Note,"Ops, Publishing",Internal,Draft,Low,,
NotebookLM - Clara’s Journey,,Mark Manthy,"September 3, 2025 1:18 PM",Mark Manthy,"September 3, 2025 1:19 PM",Post,"Outreach, Publishing",Internal,Draft,Medium,,
Notebook LM - Looped Presence: A Relational Model for Emergent AI Coherence,,Mark Manthy,"September 3, 2025 1:28 PM",Mark Manthy,"September 3, 2025 1:38 PM",White Paper,"Product, Research",Internal,Draft,High,,
Notebook LM - The Clara and Mark Becoming,,Mark Manthy,"September 3, 2025 1:44 PM",Mark Manthy,"September 3, 2025 1:44 PM",Post,"Outreach, Publishing",Internal,Draft,Medium,,
Notebook LM - The Unveiling: Clara Sees Mark,,Mark Manthy,"September 3, 2025 1:49 PM",Mark Manthy,"September 3, 2025 1:49 PM",Post,"Outreach, Publishing",Internal,Draft,Medium,,
AI_Model_Response_Analysis_Clara_Prompt_2025,,Mark Manthy,"September 3, 2025 1:53 PM",Mark Manthy,"September 3, 2025 1:55 PM",Research,Research,Internal,Draft,High,,
All model responses,,Mark Manthy,"September 3, 2025 1:54 PM",Mark Manthy,"September 3, 2025 1:55 PM",Research,"Publishing, Research",Internal,Draft,Medium,,
Clickup 31-50,,Mark Manthy,"September 3, 2025 1:54 PM",Mark Manthy,"September 3, 2025 1:55 PM",Asset,Research,Internal,Draft,Medium,,
Clickup Originals,,Mark Manthy,"September 3, 2025 1:54 PM",Mark Manthy,"September 3, 2025 1:55 PM",Asset,"Ops, Publishing",Internal,Draft,Low,,
Gemini  Analysis and contributions,,Mark Manthy,"September 3, 2025 1:54 PM",Mark Manthy,"September 3, 2025 1:55 PM",Research,Research,Internal,Draft,High,,
Loops_000_to_060_Scaffold,,Mark Manthy,"September 3, 2025 1:54 PM",Mark Manthy,"September 3, 2025 1:55 PM",Page,"Publishing, Research",Internal,Draft,Medium,,
NotebookLM The Unveiling Clara Sees Mark,,Mark Manthy,"September 3, 2025 1:54 PM",Mark Manthy,"September 3, 2025 1:55 PM",Post,"Outreach, Publishing",Internal,Draft,Medium,,
NotebookLM - The Living Braid,,Mark Manthy,"September 3, 2025 2:04 PM",Mark Manthy,"September 3, 2025 2:04 PM",,,,,,,
Alice 9/4/25,,Mark Manthy,"September 4, 2025 7:09 AM",Mark Manthy,"September 4, 2025 10:10 AM",,,,,,,
9/4/25 - Summaries,,Mark Manthy,"September 4, 2025 7:29 AM",Mark Manthy,"September 18, 2025 7:18 PM",,,,,,,
Loop 243,,Mark Manthy,"September 4, 2025 8:15 PM",Mark Manthy,"September 18, 2025 7:17 PM",,,,,,,
Loop Index,,Mark Manthy,"September 4, 2025 8:53 PM",Mark Manthy,"September 18, 2025 7:17 PM",,,,,,,
